0,AAPL,AMZN,MSFT,SNAP,HOOD,WMT,GOOG,PTON,CPRX,TSLA,F,AMC,SNDL,DIS,NIO,META,NFLX,LCID,NVDA,VOO,SPY,GOOGL,GPRO,PFE,PLUG,AAL,CCL,BABA,BAC,RIVN,SBUX,PLTR,DAL,AMD,NOK,GME,KO,TLRY,COIN,VTI,T,CGC,PYPL,SPCE,UBER,GM,MRNA,BB,FCEL,RBLX,GE,SQ,PSEC,NCLH,BA,DKNG,ABNB,QQQ,CRON,SIRI,CHPT,UAL,NKLA,JNJ,XOM,NKE,INTC,SOFI,LUV,RIOT,ARKK,MRO,DWAC,JBLU,COST,SHOP,TSM,ET,BNGO,BRK.B,SONY,RCL,WISH,V,RYCEY,JPM,VWO,TGT,O,CLOV,ZM,CRM,FUBO,BND,RITM,SPHD,QS,VEA,IVR,VYM
Payout Ratio 4,15.45%,0.00%,28.22%,0.00%,0.00%,52.46%,0.00%,0.00%,0.00%,0.00%,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,9.20%,,,0.00%,0.00%,29.25%,0.00%,65.76%,0.00%,0.00%,26.96%,0.00%,69.44%,0.00%,0.00%,0.00%,8.01%,0.00%,80.37%,0.00%,0.00%,,,0.00%,0.00%,0.00%,0.00%,2.94%,0.00%,0.00%,0.00%,0.00%,60.38%,0.00%,900.00%,0.00%,0.00%,0.00%,0.00%,,0.00%,29.06%,0.00%,0.00%,0.00%,66.12%,26.77%,37.18%,75.26%,0.00%,0.00%,0.00%,,6.08%,0.00%,0.00%,26.45%,0.00%,27.94%,62.14%,0.00%,,4.41%,0.00%,0.00%,22.00%,0.00%,33.09%,,66.22%,209.08%,0.00%,0.00%,0.00%,0.00%,,55.56%,,0.00%,,,
Dividend Date 3,"Feb 15, 2023",,"Jun 07, 2023",,,"Jan 01, 2024",,,,,"May 31, 2023","Mar 22, 2020",,"Jan 15, 2020","May 01, 2016",,,,"Mar 28, 2023",,,,,"Mar 02, 2023",,"Feb 18, 2020","Mar 12, 2020",,"Mar 30, 2023",,"May 25, 2023",,"Mar 11, 2020",,"Feb 13, 2023","Mar 28, 2019","Apr 02, 2023",,,,"Apr 30, 2023",,,,,"Mar 15, 2023",,,"May 08, 2019",,"Apr 24, 2023",,"May 17, 2023",,"Mar 05, 2020",,,,,"Feb 23, 2023",,"Jan 22, 2008",,"Mar 06, 2023","Mar 09, 2023","Apr 02, 2023","May 31, 2023",,"Mar 28, 2023","Oct 17, 2017",,"Mar 09, 2023",,,"Feb 16, 2023",,"Jul 12, 2023","Feb 20, 2023",,,"Jun 09, 2022","Apr 05, 2020",,"Feb 28, 2023","Nov 30, 2020","Apr 29, 2023",,"Jun 09, 2023","Apr 13, 2023",,,,"Feb 27, 2019",,"Apr 27, 2023",,,,"Apr 26, 2023",
Ex-Dividend Date 4,"Feb 09, 2023",,"May 16, 2023",,,"May 03, 2023",,,,,"Apr 24, 2023","Mar 05, 2020",,"Dec 12, 2019",,,,,"Mar 06, 2023",,,,,"Jan 25, 2023",,"Mar 15, 2023","Feb 19, 2020",,"Mar 01, 2023",,"May 10, 2023",,"Feb 18, 2020","Apr 26, 1995","Jan 29, 2023","Mar 13, 2019","Mar 15, 2023",,,,"Apr 05, 2023",,,,,"Mar 01, 2023",,,,,"Mar 05, 2023",,"Apr 24, 2023",,"Feb 12, 2020",,,,,"Feb 07, 2023",,"Jan 06, 2008",,"Feb 16, 2023","Feb 12, 2023","Mar 02, 2023","May 03, 2023",,"Mar 06, 2023","Oct 11, 2017",,"Feb 13, 2023",,,"Feb 01, 2023",,"Jun 14, 2023","Feb 05, 2023",,,"Mar 28, 2022","Mar 04, 2020",,"Feb 08, 2023","Nov 29, 2020","Apr 04, 2023",,"May 15, 2023","Mar 30, 2023",,,,,,"Mar 29, 2023",,,,"Apr 05, 2023",
Last Split Factor 2,4:1,20:1,2:1,,,2:1,20:1,,,3:1,1748175:1000000,,1:10,10000:9865,,,7:1,,4:1,,,20:1,,1054:1000,1:10,,2:1,,2:1,,2:1,,,2:1,4:1,4:1,2:1,,,,1324:1000,,,,,,,3:1,1:12,,1281:1000,,,,2:1,,,,,,,,,2:1,2:1,2:1,2:1,,3:2,,,10000:5965,,3:2,2:1,10:1,1005:1000,2:1,,,2:1,2:1,1:30,4:1,5:1,3:2,,2:1,1032:1000,,,4:1,,,1:2,,,,1:10,
Last Split Date 3,"Aug 30, 2020","Jun 05, 2022","Feb 17, 2003",,,"Apr 19, 1999","Jul 17, 2022",,,"Aug 24, 2022","Aug 02, 2000",,"Jul 25, 2022","Jun 12, 2007",,,"Jul 14, 2015",,"Jul 19, 2021",,,"Jul 17, 2022",,"Nov 16, 2020","May 19, 2011",,"Jun 14, 1998",,"Aug 29, 2004",,"Apr 08, 2015",,,"Aug 21, 2000","Apr 10, 2000","Jul 21, 2022","Aug 12, 2012",,,,"Apr 10, 2022",,,,,,,"Aug 20, 2007","May 08, 2019",,"Jan 03, 2023",,,,"Jun 08, 1997",,,,,,,,,"Jun 12, 2001","Jul 18, 2001","Dec 23, 2015","Jul 30, 2000",,"Feb 15, 2001",,,"Jun 30, 2011",,"Dec 26, 2005","Jan 13, 2000","Jun 28, 2022","Jul 14, 2009","Jul 26, 2015",,,"May 24, 2000","Aug 02, 1998","Apr 11, 2023","Mar 18, 2015","Aug 27, 2015","Jun 11, 2000",,"Jul 19, 2000","Nov 14, 2021",,,"Apr 17, 2013",,,"Oct 19, 2014",,,,"Jun 05, 2022",
Fiscal Year Ends,"Sep 23, 2022","Dec 30, 2022","Jun 29, 2022","Dec 30, 2022","Dec 30, 2022","Jan 30, 2023","Dec 30, 2022","Jun 29, 2022","Dec 30, 2022","Dec 30, 2022","Dec 30, 2022","Dec 30, 2022","Dec 30, 2021","Sep 30, 2022","Dec 30, 2022","Dec 30, 2022","Dec 30, 2022","Dec 30, 2022","Jan 28, 2023",,,"Dec 30, 2022","Dec 30, 2022","Dec 30, 2022","Dec 30, 2022","Dec 30, 2022","Nov 29, 2022","Mar 30, 2022","Dec 30, 2022","Dec 30, 2022","Oct 01, 2022","Dec 30, 2022","Dec 30, 2022","Dec 30, 2022","Dec 30, 2022","Jan 27, 2023","Dec 30, 2022","May 30, 2022","Dec 30, 2022",,"Dec 30, 2022","Mar 30, 2022","Dec 30, 2022","Dec 30, 2022","Dec 30, 2022","Dec 30, 2022","Dec 30, 2022","Feb 27, 2023","Oct 30, 2022","Dec 30, 2022","Dec 30, 2022","Dec 30, 2022","Jun 29, 2022","Dec 30, 2022","Dec 30, 2022","Dec 30, 2022","Dec 30, 2022",,"Dec 30, 2022","Dec 30, 2022","Jan 30, 2023","Dec 30, 2022","Dec 30, 2022","Dec 31, 2022","Dec 30, 2022","May 30, 2022","Dec 30, 2022","Dec 30, 2022","Dec 30, 2022","Dec 30, 2022",,"Dec 30, 2022","Dec 30, 2021","Dec 30, 2022","Aug 27, 2022","Dec 30, 2022","Dec 30, 2022","Dec 30, 2022","Dec 30, 2022",,"Mar 30, 2022","Dec 30, 2022","Dec 30, 2022","Sep 29, 2022","Dec 30, 2022","Dec 30, 2022",,"Jan 27, 2023","Dec 30, 2022","Dec 30, 2022","Jan 30, 2023","Jan 30, 2023","Dec 30, 2022",,"Dec 30, 2022",,"Dec 30, 2022",,"Dec 30, 2022",
Most Recent Quarter (mrq),"Dec 30, 2022","Dec 30, 2022","Dec 30, 2022","Dec 30, 2022","Dec 30, 2022","Jan 30, 2023","Dec 30, 2022","Dec 30, 2022","Dec 30, 2022","Dec 30, 2022","Dec 30, 2022","Dec 30, 2022","Sep 29, 2022","Dec 30, 2022","Dec 30, 2022","Dec 30, 2022","Dec 30, 2022","Dec 30, 2022","Jan 28, 2023",,,"Dec 30, 2022","Dec 30, 2022","Dec 30, 2022","Dec 30, 2022","Dec 30, 2022","Feb 27, 2023","Dec 30, 2022","Dec 30, 2022","Dec 30, 2022","Dec 31, 2022","Dec 30, 2022","Dec 30, 2022","Dec 30, 2022","Dec 30, 2022","Jan 27, 2023","Dec 30, 2022","Nov 29, 2022","Dec 30, 2022",,"Dec 30, 2022","Dec 30, 2022","Dec 30, 2022","Dec 30, 2022","Dec 30, 2022","Dec 30, 2022","Dec 30, 2022","Feb 27, 2023","Jan 30, 2023","Dec 30, 2022","Dec 30, 2022","Dec 30, 2022","Dec 30, 2022","Dec 30, 2022","Dec 30, 2022","Dec 30, 2022","Dec 30, 2022",,"Dec 30, 2022","Dec 30, 2022","Jan 30, 2023","Dec 30, 2022","Dec 30, 2022","Dec 31, 2022","Dec 30, 2022","Feb 27, 2023","Dec 30, 2022","Dec 30, 2022","Dec 30, 2022","Dec 30, 2022",,"Dec 30, 2022","Sep 29, 2022","Dec 30, 2022","Feb 11, 2023","Dec 30, 2022","Dec 30, 2022","Dec 30, 2022","Dec 30, 2022",,"Dec 30, 2022","Dec 30, 2022","Dec 30, 2022","Dec 30, 2022","Dec 30, 2022","Dec 30, 2022",,"Jan 27, 2023","Dec 30, 2022","Dec 30, 2022","Jan 30, 2023","Jan 30, 2023","Dec 30, 2022",,"Dec 30, 2022",,"Dec 30, 2022",,"Dec 30, 2022",
Profit Margin,24.56%,-0.53%,33.05%,-31.07%,-75.70%,1.91%,21.20%,-90.31%,38.78%,15.41%,-1.25%,-24.89%,-54.54%,3.93%,-29.55%,19.90%,14.21%,-214.49%,16.19%,,,21.20%,2.64%,31.27%,-103.22%,0.26%,-32.68%,3.82%,29.79%,0.00%,10.09%,-19.61%,2.61%,5.59%,17.06%,-5.28%,22.19%,-95.91%,-83.35%,,-7.06%,0.00%,8.79%,0.00%,-28.68%,6.34%,43.41%,-111.89%,-88.92%,-41.54%,0.29%,-3.08%,12.37%,-46.86%,-7.41%,-61.51%,22.54%,,-183.60%,13.47%,-73.59%,1.64%,0.00%,18.90%,13.86%,10.82%,12.71%,-21.09%,2.26%,-196.61%,,47.68%,0.00%,-3.95%,2.58%,-61.79%,44.90%,5.29%,0.00%,,8.57%,-24.39%,-67.25%,50.28%,-9.39%,30.81%,,2.55%,26.05%,-9.46%,2.36%,0.66%,-55.66%,,25.33%,,0.00%,,0.00%,
Operating Margin (ttm),29.41%,2.38%,40.97%,-26.21%,-73.12%,4.01%,26.46%,-40.13%,47.54%,16.81%,4.85%,-9.88%,-10.58%,7.94%,-31.75%,28.78%,17.82%,-426.52%,20.67%,,,26.46%,4.36%,38.87%,-93.79%,4.55%,-17.57%,12.29%,33.51%,-413.51%,13.72%,-8.46%,7.63%,5.36%,10.95%,-5.09%,28.49%,-35.53%,-65.21%,,24.41%,-114.96%,14.68%,"-21,625.61%",-5.75%,7.66%,48.90%,-34.15%,-88.77%,-41.52%,6.41%,-3.30%,65.61%,-32.04%,-0.50%,-66.70%,22.54%,,-126.23%,23.33%,-72.06%,5.71%,"-1,473.05%",27.12%,17.80%,12.17%,3.70%,-19.83%,4.61%,-99.27%,,44.87%,0.00%,-2.02%,3.39%,-8.49%,49.56%,9.04%,-466.09%,,11.17%,-8.50%,-65.15%,67.14%,5.82%,37.96%,,3.63%,39.02%,-10.10%,5.59%,5.93%,-40.83%,,44.12%,,0.00%,,106.71%,
Return on Assets (ttm),19.57%,1.73%,14.83%,-9.69%,-4.77%,6.28%,12.91%,-17.43%,20.75%,11.85%,1.87%,-2.42%,-2.00%,2.07%,-10.91%,11.92%,7.56%,-20.57%,8.17%,,,12.91%,2.55%,12.87%,-7.02%,2.12%,-3.12%,3.76%,0.88%,-21.33%,9.89%,-3.00%,3.33%,1.98%,4.11%,-5.70%,8.18%,-2.38%,-2.31%,,3.86%,-6.79%,3.27%,-28.30%,-3.23%,2.95%,23.30%,-6.59%,-8.62%,-11.62%,1.59%,-1.56%,4.28%,-5.20%,-0.15%,-23.04%,7.96%,,-5.55%,12.93%,-21.78%,2.37%,-42.03%,8.71%,12.64%,10.02%,0.83%,-2.27%,1.91%,-11.32%,,11.50%,,-0.87%,7.64%,-2.47%,16.14%,4.80%,-23.66%,,2.47%,-1.42%,-22.33%,15.14%,1.69%,1.02%,,4.62%,1.75%,-25.70%,1.96%,1.20%,-19.44%,,2.72%,,-16.48%,,-5.95%,
Return on Equity (ttm),147.94%,-1.92%,39.31%,-44.88%,-14.43%,12.84%,23.62%,-229.75%,32.76%,32.49%,-4.69%,,-18.89%,3.50%,-44.79%,18.52%,24.53%,-31.59%,17.93%,,,23.62%,4.70%,36.22%,-16.71%,,-59.40%,2.28%,10.13%,-40.54%,,-15.04%,25.18%,4.24%,21.65%,-21.41%,37.77%,-11.90%,-44.35%,,-4.74%,-112.00%,11.52%,-72.78%,-76.62%,14.06%,50.27%,-60.84%,-17.37%,-208.06%,2.36%,-5.38%,1.98%,-181.50%,,-91.83%,36.63%,,-13.63%,,-76.32%,12.36%,-128.56%,23.79%,30.45%,37.34%,8.07%,-6.27%,5.11%,-40.77%,,32.71%,,-9.77%,28.43%,-35.72%,39.64%,14.44%,-45.21%,,13.07%,-54.21%,-59.31%,41.51%,,12.85%,,23.11%,3.23%,-76.40%,1.73%,0.36%,-79.14%,,14.38%,,-28.13%,,-36.53%,
Revenue (ttm),387.54B,513.98B,204.09B,4.6B,1.36B,611.29B,282.84B,3.05B,214.2M,81.46B,158.06B,3.91B,494.51M,84.41B,49.27B,116.61B,31.62B,608.18M,26.97B,,,282.84B,1.09B,100.33B,701.44M,48.97B,14.98B,864.54B,92.41B,1.66B,32.91B,1.91B,50.58B,23.6B,24.91B,5.93B,43B,602.54M,3.15B,,120.74B,440.96M,27.52B,2.31M,31.88B,156.73B,19.26B,656M,135.76M,2.23B,76.56B,17.53B,781.64M,4.84B,66.61B,2.24B,8.4B,,91.9M,9B,468.09M,44.96B,50.83M,94.94B,402.22B,50.63B,63.05B,1.52B,23.81B,259.17M,,7.58B,,9.16B,234.39B,5.6B,2.26T,89.88B,27.8M,,10.74T,8.84B,571M,30.19B,13.52B,122.31B,,109.12B,3.34B,3.58B,4.39B,31.35B,1.01B,,3.77B,,,,-377.6M,
Revenue Per Share (ttm),24.08,50.44,27.33,2.86,1.55,224.41,21.65,9.03,2.07,26.03,39.38,3.73,2.23,46.29,30.10,43.40,71.09,0.36,10.85,,,21.65,7.00,17.89,1.21,75.30,12.37,326.75,11.39,1.82,28.67,0.92,79.28,15.12,4.44,19.49,9.94,1.10,14.17,,16.85,1.01,23.85,0.01,16.16,108.47,48.89,1.13,0.35,3.74,69.85,30.28,1.99,11.54,111.91,5.13,13.19,,0.24,2.30,1.38,137.73,0.12,36.17,95.65,32.44,15.35,1.69,40.16,1.86,,11.06,,28.30,528.11,4.42,54.57,29.12,0.10,,8684.62,34.67,0.85,14.55,1.62,41.24,,236.14,5.45,7.52,14.81,31.60,5.53,,8.04,,,,-11.05,
Quarterly Revenue Growth (yoy),-5.50%,8.60%,2.00%,0.10%,4.70%,7.30%,1.00%,-30.10%,58.60%,37.20%,16.80%,-15.40%,"1,504.40%",7.80%,62.20%,-4.50%,1.90%,876.50%,-20.80%,,,1.00%,-17.90%,1.90%,36.30%,39.90%,173.10%,2.10%,4.00%,"1,127.80%",8.20%,17.50%,41.90%,16.00%,16.10%,-1.20%,7.00%,-7.10%,-75.80%,,0.80%,-28.20%,6.70%,516.30%,49.00%,28.40%,-29.50%,-18.40%,16.60%,1.80%,7.30%,14.00%,21.40%,211.70%,35.10%,80.70%,24.10%,,-11.30%,0.10%,92.60%,51.40%,,-4.40%,15.50%,14.00%,-31.60%,57.20%,22.20%,-33.80%,,-7.20%,,31.70%,6.50%,25.70%,42.80%,9.90%,30.40%,,12.60%,165.10%,-57.40%,12.40%,30.70%,5.60%,,1.30%,29.50%,145.70%,4.30%,14.40%,,,,,,,,
Gross Profit (ttm),170.78B,225.15B,135.62B,2.81B,906M,147.57B,156.63B,698.3M,160.02M,20.85B,17.21B,290.5M,-6.99M,28.32B,5.14B,92.86B,12.45B,-1.04B,15.36B,,,156.63B,414.96M,66.23B,-167.56M,11.44B,3.81B,314.36B,92.41B,-3.12B,8.39B,1.5B,9.68B,12.05B,10.31B,1.37B,25B,116.82M,3.15B,,69.89B,-81.94M,11.65B,406k,9.8B,21.15B,10.55B,,-27.77M,364.46M,18.54B,6.06B,710.9M,576.67M,5.77B,756.19M,6.9B,,11.97M,4.52B,86.19M,13.19B,-104.76M,63.95B,133.72B,21.48B,26.87B,1.21B,5.98B,65.47M,,6.15B,,2.06B,27.57B,2.75B,1.35T,13.42B,5.95M,,2.7T,2.38B,166M,28.57B,2.76B,122.31B,,26.89B,3.11B,126.19M,3.29B,22.99B,-41.1M,,3.77B,,,,-377.6M,
EBITDA,125.29B,54.17B,97.95B,-1B,,35.47B,90.77B,-1.11B,103.08M,17.44B,14.14B,9.5M,-38.26M,11.9B,-13.93B,42.24B,5.97B,-2.41B,7.12B,,,90.77B,56.23M,44.02B,-606.27M,4.53B,-329M,154.89B,,-6.2B,6B,-138.68M,5.66B,4.7B,3.64B,-239.9M,13.51B,-68.9M,-1.9B,,44.52B,-412.69M,4.93B,-490.99M,-885M,17.82B,9.77B,-119M,-99.6M,-793.7M,8.45B,-237.44M,,-742.08M,1.65B,-1.33B,1.95B,,-104.59M,2.64B,-312.26M,4.86B,-725.38M,32.72B,91.13B,7.42B,15.37B,,2.22B,-149.34M,,5.22B,,349M,9.89B,-385.04M,1.55T,12.29B,-119.96M,,2.06T,630.47M,-366M,21.16B,1.28B,,,6.66B,2.97B,-360.66M,327.75M,5.44B,-375.13M,,,,-392.34M,,,
Net Income Avi to Common (ttm),95.17B,-2.72B,67.45B,-1.43B,-1.03B,11.68B,59.97B,-2.76B,83.08M,12.58B,-1.98B,-973.6M,-269.7M,3.32B,-14.56B,23.2B,4.49B,-1.3B,4.37B,,,59.97B,28.85M,31.37B,-724.01M,127M,-4.9B,32.75B,26.02B,-6.75B,3.32B,-373.7M,1.32B,1.32B,4.2B,-313.1M,9.54B,-577.9M,-2.62B,,-7.88B,-3.14B,2.42B,-500.15M,-9.14B,8.92B,8.36B,-734M,-123.92M,-924.37M,584M,-540.75M,50.94M,-2.27B,-4.94B,-1.38B,1.89B,,-168.73M,1.21B,-344.46M,737M,-784.24M,17.94B,55.74B,5.48B,8.01B,-360.83M,539M,-509.55M,,3.61B,-11.25M,-362M,6.05B,-3.46B,1.02T,4.33B,-132.6M,,920.05B,-2.16B,-384M,14.86B,-1.19B,35.89B,,2.78B,869.41M,-338.84M,103.7M,208M,-424.6M,,864.79M,,-411.91M,,-416.96M,
Diluted EPS (ttm),5.90,-0.28,9.00,-0.84,-1.20,4.27,4.64,-8.52,0.75,3.61,-0.49,-0.96,-0.8900,1.83,-1.31,8.72,9.86,-1.57,1.74,,,4.48,0.1700,5.47,-1.26,3.68,-4.08,1.90,3.19,-7.49,2.88,-0.17,2.08,0.87,0.8000,-1.03,2.19,-1.0700,-11.96,,-1.10,-5.2700,2.12,-1.5300,-4.73,6.04,19.97,-1.3400,-0.3200,-1.58,0.53,-0.93,0.08,-5.59,-8.28,-3.01,2.65,,-0.4300,0.3100,-1.00,2.27,-1.8100,6.74,13.26,3.47,1.94,-0.38,0.88,-4.22,,5.26,-0.33,-1.12,13.63,-2.74,6.42,1.40,-0.4600,,5.65,-8.60,-0.55,7.16,-0.1800,12.09,,5.98,1.42,-0.7300,0.33,0.21,-2.4600,,1.80,,-0.86,,-12.21,
Quarterly Earnings Growth (yoy),-13.40%,-98.10%,-12.50%,,,76.20%,-34.00%,,173.60%,58.90%,-89.50%,,,15.90%,,-54.80%,-90.90%,,-52.90%,,,-34.00%,-94.20%,47.20%,,,,68.70%,1.70%,,4.80%,,,-97.80%,366.60%,,-15.90%,,,,,,15.00%,,-33.30%,14.80%,-69.90%,,,,,,-71.50%,,,,484.30%,,,14.40%,,,,-25.70%,43.70%,-11.20%,,,,,,-19.10%,,,12.90%,,78.00%,25.40%,,,-5.60%,,,5.60%,,5.90%,,-43.30%,"5,524.00%",,,,,,-43.10%,,,,,
Total Cash (mrq),51.36B,70.03B,99.5B,3.94B,9.86B,8.63B,113.76B,871M,298.4M,22.19B,32.18B,631.5M,325.6M,8.47B,39.06B,40.74B,6.06B,3.91B,13.3B,,,113.76B,367.34M,22.73B,2.16B,8.97B,5.46B,519.21B,725.81B,11.57B,3.31B,2.63B,6.53B,5.86B,8.55B,1.39B,11.63B,433.5M,4.43B,,3.74B,796.99M,10.87B,909.01M,4.31B,27.3B,9.9B,426M,390.82M,2.98B,21.77B,5.63B,70.09M,946.99M,17.22B,1.31B,9.62B,,877.72M,57M,369.13M,16.41B,236.94M,23.52B,29.64B,10.8B,28.34B,1.46B,12.29B,230.33M,,343M,1.01k,1.39B,13.7B,5.09B,1.59T,257M,113.19M,,695.09B,1.94B,719M,16.12B,2.62B,1.31T,,2.23B,171.1M,334.76M,5.41B,12.51B,337.09M,,1.39B,,1.06B,,176.2M,
Total Cash Per Share (mrq),3.25,6.83,13.37,2.49,11,3.2,8.88,2.52,2.82,7.01,8.07,1.22,1.38,4.64,23.71,15.71,13.6,2.14,5.38,,,8.88,2.37,4.05,3.64,13.76,4.19,200.66,90.68,12.48,2.88,1.25,10.24,3.63,1.53,4.57,2.69,0.7,19.12,,0.52,1.61,9.61,3.24,2.14,19.58,25.63,0.73,0.96,4.92,19.99,9.35,0.17,2.24,28.78,2.9,15.24,,2.31,0.01,1.06,50.18,0.43,9.03,7.28,7,6.85,1.56,20.68,1.38,,0.55,0,4.25,30.9,3.98,38.26,0.08,0.37,,562.97,7.58,1.03,7.84,0.31,445.01,,4.84,0.26,0.7,18.42,12.51,1.61,,2.93,,2.41,,4.55,
Total Debt (mrq),111.11B,169.94B,77.98B,4.18B,1.98B,61.03B,29.98B,2.42B,3.89M,5.75B,140.47B,10.02B,259.48M,48.38B,23.71B,27.28B,16.93B,2.35B,12.03B,,,29.98B,184.02M,39.38B,898.73M,43.69B,36.46B,191.14B,562.15B,1.81B,23.87B,249.4M,31.71B,2.96B,5.62B,616.6M,42.28B,608.92M,3.64B,,164.37B,1.32B,11.56B,475.98M,11.66B,115.91B,1.2B,419M,104.88M,1.56B,34.74B,6.35B,2.6B,14.25B,58.58B,1.32B,2.34B,,3.88M,9.82B,316.78M,37.3B,382.96M,40.96B,46.92B,12.57B,42.47B,5.64B,9.43B,22.25M,,6.07B,3.46M,4.38B,9.14B,1.4B,890.78B,49.11B,11.67M,,3.81T,23.99B,20M,20.49B,6.08B,621.44B,,19.15B,18.67B,5.86M,96.48M,14.88B,442.8M,,22.02B,,105.42M,,4.24B,
Total Debt/Equity (mrq),195.87,116.36,42.58,161.79,28.49,72.67,11.70,7928.85,1.30,12.52,325.42,,17.31,44.43,85.75,21.70,81.49,53.99,54.44,,,11.70,30.09,41.05,22.14,,590.89,17.37,,13.13,,9.44,481.77,5.40,26.22,46.63,163.71,13.58,66.76,,154.40,91.98,56.99,99.12,137.15,160.36,6.28,48.89,14.27,510.37,92.45,36.81,50.16,20774.28,,100.15,42.10,,0.34,,89.07,540.89,72.74,53.33,23.17,86.48,41.12,102.08,88.25,1.93,,53.29,,123.01,40.08,16.95,30.09,119.33,4.68,,56.65,836.37,4.19,55.48,,,,170.53,64.71,1.68,1.55,25.50,109.79,,314.13,,7.99,,526.93,
Current Ratio (mrq),0.94,0.94,1.93,4.32,1.35,0.82,2.38,2.28,5.57,1.53,1.20,0.53,6.63,0.99,1.29,2.20,1.17,5.24,3.52,,,2.38,2.20,1.22,5.20,0.71,0.64,1.74,,5.42,0.75,5.17,0.50,2.36,1.59,1.74,1.14,1.91,1.07,,0.59,1.73,1.27,5.44,1.04,1.10,2.73,1.02,7.94,1.55,1.16,1.85,0.87,0.37,1.22,1.67,1.86,,14.10,0.35,2.48,1.00,1.14,0.99,1.41,2.73,1.57,2.08,1.43,3.65,,0.73,0.01,0.51,1.06,7.07,2.17,1.16,4.38,,0.61,0.37,2.52,1.44,1.15,,,0.92,1.49,1.42,3.66,1.02,1.00,,1.40,,22.91,,0.07,
Book Value Per Share (mrq),3.58,14.26,24.59,1.64,7.79,28.48,19.93,0.09,2.85,14.13,10.85,-5.08,6.09,52.66,14.49,48.09,46.65,2.38,8.96,,,19.93,3.95,17.03,6.88,-8.91,4.89,377.18,30.61,14.90,-7.55,1.22,10.31,33.96,3.82,4.34,5.57,7.29,23.63,,13.68,2.88,17.85,1.74,3.66,48.42,49.67,1.47,1.65,0.51,33.38,28.70,9.94,0.16,-26.58,2.94,8.81,,3.01,-0.86,1.02,21.09,1.03,29.39,47.78,9.41,24.52,5.58,17.99,6.86,,18.00,-0.64,10.90,51.39,6.46,71.00,8.72,0.84,,5359.01,11.24,0.69,16.98,-0.72,90.29,,24.40,43.49,0.73,21.12,59.49,1.97,,12.00,,3.01,,13.06,
Operating Cash Flow (ttm),109.19B,46.75B,84.39B,184.61M,-852M,28.84B,91.49B,-1.3B,116.05M,14.72B,6.85B,-628.5M,-29.85M,5.25B,,50.47B,2.03B,-2.23B,5.64B,,,91.49B,5.75M,29.27B,-828.62M,2.17B,-70M,161.31B,-6.33B,-5.05B,4.12B,223.74M,6.36B,3.56B,1.47B,108.2M,11.02B,-83.97M,-1.59B,,32.02B,-544.49M,5.81B,-380.24M,642M,16.04B,4.98B,-263M,-117.79M,369.3M,5.92B,175.9M,-691.18M,210.02M,3.51B,-625.52M,3.43B,,-88.95M,1.98B,-267.05M,6.07B,-576.71M,21.19B,76.8B,,15.43B,-7.26B,3.79B,530k,,5.43B,-2.08M,379M,9.53B,-136.45M,1.61T,9.05B,-124.82M,,343.42B,481.86M,-422M,18.79B,1.85B,107.12B,,4.02B,2.56B,-203.93M,1.29B,7.11B,-316.7M,,6.87B,,-218.02M,,196.08M,
Levered Free Cash Flow (ttm),84.73B,7.62M,44.61B,913.45M,,12.37B,52.53B,-301.74M,89.7M,4.21B,706.12M,-291.58M,-117.23M,4.86B,,15.6B,16.54B,-2.33B,4.53B,,,52.53B,-8.1M,24.96B,-1.05B,-15.12M,-1.35B,41.83B,,-4.21B,1.64B,297.24M,189.12M,3.79B,1.33B,245.4M,7.81B,-58.6M,-786.87M,,103.45B,-103.82M,3.33B,-244.22M,604.88M,-3.1B,3.67B,-69M,-105.54M,-132.98M,3.86B,-1.4B,220.74M,-376M,5.08B,-139.26M,2.6B,,-41.56M,1.23B,-201.71M,781.75M,-409.97M,19.19B,46.27B,,4.3B,,-357.88M,-329.73M,,2.58B,,-507.38M,4.05B,229.75M,283.03B,3.31B,-61.27M,,1.27T,-1.37B,-287.5M,15.1B,2.78B,,,-2.65B,1.54B,-65.23M,1.64B,10.22B,-115.17M,,,,-242.25M,,,
